kind,area,space,floor,top_floor,mrt,bd,pet,elevator,parking,balcony,price
整層住家,北屯區,28.0,2,15,0,1,0,1,0,0,29000
獨立套房,北屯區,12.6,6,7,0,1,0,1,0,0,8699
獨立套房,北屯區,13.0,6,7,0,1,0,1,0,0,11000
獨立套房,北屯區,13.0,2,7,0,1,0,1,0,0,11000
獨立套房,北區,13.0,12,12,0,0,0,1,0,0,11000
獨立套房,西屯區,7.3,6,6,1,0,0,1,0,0,7300
獨立套房,西屯區,13.3,3,5,0,1,0,1,0,0,8999
獨立套房,霧峰區,18.7,3,5,0,1,0,1,0,0,8998
獨立套房,西屯區,15.1,3,7,0,1,0,1,0,0,8999
獨立套房,北屯區,13.0,7,7,0,1,0,1,0,0,11000
獨立套房,北區,8.0,3,6,1,1,0,1,0,0,11000
獨立套房,西屯區,8.0,6,7,1,1,0,1,0,0,9488
獨立套房,北屯區,14.6,5,7,0,1,0,1,0,0,9499
整層住家,南區,30.0,3,14,0,1,0,1,0,0,26999
獨立套房,南區,10.0,4,7,0,0,1,1,0,0,13000
獨立套房,南區,12.0,4,7,0,0,1,1,0,0,15000
獨立套房,太平區,12.0,3,4,0,1,0,0,0,0,12500
獨立套房,北區,12.0,3,5,0,1,0,1,0,1,8600
獨立套房,霧峰區,12.2,2,6,0,0,0,1,0,1,7500
整層住家,烏日區,30.0,17,20,1,1,0,1,0,0,29000
獨立套房,太平區,14.2,5,7,0,1,0,1,0,0,9499
整層住家,西屯區,20.0,2,4,1,1,0,0,0,0,18999
獨立套房,西屯區,13.0,4,5,0,1,0,1,0,0,9999
整層住家,北屯區,32.0,3,7,1,1,0,1,0,0,21999
獨立套房,南區,15.0,2,6,0,1,1,1,0,0,16000
獨立套房,西屯區,8.0,5,7,0,1,0,1,0,0,7300
獨立套房,南屯區,11.0,6,7,0,1,0,1,0,0,9999
獨立套房,南屯區,9.0,6,8,0,1,0,1,0,0,7999
整層住家,北區,20.0,11,12,0,1,1,0,0,0,16999
獨立套房,西屯區,12.0,5,13,1,1,0,1,0,1,9600
獨立套房,南屯區,12.0,6,6,0,1,1,1,0,0,9500
獨立套房,霧峰區,11.0,5,7,0,1,0,1,0,0,6499
獨立套房,北區,10.0,5,8,0,1,0,0,0,1,8500
獨立套房,北區,10.0,5,7,0,1,0,1,0,1,7200
整層住家,太平區,28.0,13,13,0,0,1,1,0,0,28000
獨立套房,太平區,14.1,5,7,0,1,0,1,0,0,9499
獨立套房,太平區,12.6,5,8,0,0,0,1,0,0,9500
獨立套房,北區,13.0,3,6,0,1,0,1,0,0,12000
