kind,area,space,floor,top_floor,mrt,bd,pet,elevator,parking,balcony,price
整層住家,北屯區,28坪,2F,15F,0,1,0,1,0,0,"29,000元/月"
獨立套房,北屯區,12.6坪,6F,7F,0,1,0,1,0,0,"8,699元/月"
獨立套房,北屯區,13坪,6F,7F,0,1,0,1,0,0,"11,000元/月"
獨立套房,北屯區,13坪,2F,7F,0,1,0,1,0,0,"11,000元/月"
獨立套房,北區,13坪,12F,12F,0,0,0,1,0,0,"11,000元/月"
獨立套房,西屯區,7.3坪,6F,6F,1,0,0,1,0,0,"7,300元/月"
獨立套房,西屯區,13.3坪,3F,5F,0,1,0,1,0,0,"8,999元/月"
獨立套房,霧峰區,18.7坪,3F,5F,0,1,0,1,0,0,"8,998元/月"
獨立套房,西屯區,15.1坪,3F,7F,0,1,0,1,0,0,"8,999元/月"
獨立套房,霧峰區,15.1坪,頂樓加蓋,5F,0,1,0,1,0,0,"9,499元/月"
獨立套房,北屯區,13坪,7F,7F,0,1,0,1,0,0,"11,000元/月"
獨立套房,北區,8坪,3F,6F,1,1,0,1,0,0,"11,000元/月"
獨立套房,西屯區,8坪,6F,7F,1,1,0,1,0,0,"9,488元/月"
獨立套房,北屯區,14.6坪,5F,7F,0,1,0,1,0,0,"9,499元/月"
整層住家,南區,30坪,3F,14F,0,1,0,1,0,0,"26,999元/月"
獨立套房,南區,10坪,4F,7F,0,0,1,1,0,0,"13,000元/月"
獨立套房,南區,12坪,4F,7F,0,0,1,1,0,0,"15,000元/月"
獨立套房,太平區,12坪,3F,4F,0,1,0,0,0,0,"12,500元/月"
獨立套房,北區,12坪,3F,5F,0,1,0,1,0,1,"8,600元/月"
獨立套房,霧峰區,12.2坪,2F,6F,0,0,0,1,0,1,"7,500元/月"
整層住家,烏日區,30坪,17F,20F,1,1,0,1,0,0,"29,000元/月"
獨立套房,太平區,14.2坪,5F,7F,0,1,0,1,0,0,"9,499元/月"
整層住家,西屯區,20坪,2F,4F,1,1,0,0,0,0,"18,999元/月"
獨立套房,西屯區,13坪,4F,5F,0,1,0,1,0,0,"9,999元/月"
整層住家,北屯區,32坪,3F,7F,1,1,0,1,0,0,"21,999元/月"
獨立套房,西區,15坪,頂樓加蓋,2F,0,1,0,0,0,1,"13,500元/月"
獨立套房,南區,15坪,2F,6F,0,1,1,1,0,0,"16,000元/月"
獨立套房,西屯區,8坪,5F,7F,0,1,0,1,0,0,"7,300元/月"
獨立套房,南屯區,11坪,6F,7F,0,1,0,1,0,0,"9,999元/月"
獨立套房,南屯區,9坪,6F,8F,0,1,0,1,0,0,"7,999元/月"
整層住家,北區,20坪,11F,12F,0,1,1,0,0,0,"16,999元/月"
獨立套房,西屯區,12坪,5F,13F,1,1,0,1,0,1,"9,600元/月"
獨立套房,南屯區,12坪,6F,6F,0,1,1,1,0,0,"9,500元/月"
獨立套房,霧峰區,11坪,5F,7F,0,1,0,1,0,0,"6,499元/月"
獨立套房,北區,10坪,5F,8F,0,1,0,0,0,1,"8,500元/月"
獨立套房,北區,10坪,5F,7F,0,1,0,1,0,1,"7,200元/月"
整層住家,太平區,28坪,13F,13F,0,0,1,1,0,0,"28,000元/月"
獨立套房,太平區,14.1坪,5F,7F,0,1,0,1,0,0,"9,499元/月"
獨立套房,太平區,12.6坪,5F,8F,0,0,0,1,0,0,"9,500元/月"
獨立套房,北區,13坪,3F,6F,0,1,0,1,0,0,"12,000元/月"
獨立套房,北區,10坪,5F,8F,0,1,0,1,0,1,"8,000元/月"
