kind,area,space,floor,top_floor,mrt,bd,pet,elevator,parking,balcony,price
整層住家,中山區,12.9,10,12,1,1,0,1,0,0,30000
雅房,中山區,5.0,2,5,1,0,0,0,0,1,12800
整層住家,中山區,13.0,7,13,1,0,0,1,0,0,19000
整層住家,中山區,15.0,5,11,1,0,0,1,0,0,32500
整層住家,中山區,20.2,6,7,1,1,0,1,0,0,35999
整層住家,中山區,11.0,3,11,1,0,0,1,0,0,28799
獨立套房,中山區,10.0,4,4,1,0,0,0,0,0,16998
整層住家,信義區,25.0,3,4,1,1,0,0,0,0,20000
整層住家,信義區,52.0,8,8,1,1,0,1,0,0,58000
整層住家,中山區,20.2,6,7,1,1,0,0,0,0,36000
獨立套房,中山區,11.0,3,11,1,0,0,1,0,0,28799
獨立套房,萬華區,8.0,5,12,1,1,0,0,0,0,16500
獨立套房,信義區,12.2,5,11,1,0,0,1,0,0,29850
整層住家,中山區,15.2,5,11,1,1,0,1,0,0,32300
整層住家,中山區,14.7,8,9,1,0,0,1,0,0,32000
整層住家,中山區,13.8,5,10,1,1,0,1,0,0,25000
整層住家,中山區,27.1,3,4,1,1,1,0,0,0,22000
整層住家,中山區,26.0,8,16,1,1,0,1,0,0,41998
獨立套房,大同區,4.1,3,10,1,1,0,1,0,0,12798
整層住家,大安區,25.0,3,5,1,0,0,0,0,0,28000
分租套房,信義區,5.5,1,5,0,0,0,0,0,0,8500
整層住家,中山區,13.8,6,7,1,0,0,1,0,0,23596
整層住家,內湖區,17.8,5,14,1,0,0,1,1,0,34000
整層住家,松山區,37.0,2,18,1,1,0,1,0,0,49000
整層住家,萬華區,9.8,4,5,0,0,1,0,0,0,14000
雅房,大同區,7.0,5,6,1,1,0,0,0,0,6000
整層住家,大同區,25.0,3,4,1,1,0,0,0,0,33000
整層住家,信義區,15.1,4,9,0,1,0,1,1,0,27999
整層住家,大同區,33.6,2,18,1,0,0,1,0,0,49000
整層住家,信義區,15.0,1,5,1,0,0,1,0,0,94500
整層住家,信義區,12.2,5,11,1,1,0,1,0,0,29999
整層住家,信義區,25.8,2,4,1,1,1,0,0,0,33000
獨立套房,信義區,12.0,1,5,1,0,1,0,0,0,27000
整層住家,信義區,39.2,5,12,1,0,0,1,0,0,55000
雅房,信義區,4.5,8,12,1,0,0,1,0,0,12500
整層住家,信義區,30.0,9,12,1,0,0,1,0,0,50000
獨立套房,信義區,20.3,13,19,1,0,0,1,0,0,30000
整層住家,中山區,16.1,4,15,1,1,0,1,0,0,30000
整層住家,中山區,10.3,8,11,1,1,0,1,0,0,32000
整層住家,中正區,46.0,5,13,1,0,0,1,1,0,75000
整層住家,內湖區,27.0,6,10,0,1,0,1,1,0,33000
雅房,中正區,5.0,3,4,1,1,0,0,0,0,8000
整層住家,松山區,31.0,3,7,1,1,0,1,0,0,34500
整層住家,大安區,49.4,3,15,1,1,0,1,0,0,78800
分租套房,萬華區,8.0,5,10,1,1,0,1,0,0,16800
整層住家,松山區,27.0,4,10,1,1,0,1,0,0,50000
整層住家,內湖區,15.0,5,5,1,0,1,0,0,0,30000
獨立套房,萬華區,13.5,16,26,1,1,0,1,0,0,19800
整層住家,萬華區,32.7,11,15,1,1,0,1,0,0,60000
